未だしも,まだしも,"rather, better"
凝る,こる,"to grow stiff; to be absorbed in, to be devoted to, to be a fanatic, to elaborate"
彼此,あれこれ,"this and that, this or that, one thing or another, this way and that; around, about, round about, roughly, nearly, almost"
吸い込む,すいこむ,"to inhale, to breathe in, to suck up, to imbibe; to absorb, to soak up"
言い返す,いいかえす,"to talk back, to answer back, to retort, to reply, to respond; to say over, to repeat (what one has said)"
寝転ぶ,ねころぶ,"to lie down, to throw oneself down"
寄越す,よこす,"to send, to forward; to hand over (e.g. money)"
食いしばる,くいしばる,"to set one's teeth, to clench one's teeth, to grit one's teeth"
爽快,そうかい,"refreshing, exhilarating, invigorating, bracing"
うろうろ,うろうろ,"restlessly, aimlessly, without purpose; to loiter, to drift, to hang about doing nothing, to wander aimlessly, to be restless; to be restless, to fuss, to be in a fidget"
以て,もって,"with, by, by means of; because of, on account of, for, due to; on (a day, date), at (a time), as of (e.g. today); adds emphasis to preceding word; in addition (to being), moreover, as well as, and; therefore, and so, hence"
先制,せんせい,"head start, initiative, preemption"
照れ隠し,てれかくし,hiding one's embarrassment
いつの間にか,いつのまにか,"before one knows, before one becomes aware of, unnoticed, unawares"
目覚ましい,めざましい,"remarkable, striking, brilliant, splendid, spectacular, wonderful"
目,モク,"eye, class, look, insight, experience, care, favor"
遂げる,とげる,"to accomplish, to achieve, to carry out; to arrive at (a certain outcome), to come to, to end with"
有るべき,あるべき,"ideal, desirable, the way something should be, target, goal"
好ましい,このましい,"nice, likeable, desirable"
嘆く,なげく,"to lament, to grieve, to regret; to deplore"
嘗て,かつて,"once, before, formerly, ever, former, ex-; never yet, never before, first time, still not happened"
捉える,とらえる,"to catch, to capture, to seize, to arrest, to grab, to catch hold of; to grasp (e.g. meaning), to perceive, to capture (e.g. features); to captivate, to move (one's heart)"
従って,したがって,"therefore, consequently, accordingly"
分ける,わける,"to divide (into), to split (into), to part, to separate, to divide up, to classify, to sort out, to divide out; to share, to distribute, to deal out, to dish out; to distinguish, to discriminate, to differentiate (between); to break up (a fight), to mediate; to call a draw, to tie; to push one's way through (a crowd); to sell"
筋合,すじあい,"reason, right"
改修,かいしゅう,"repair, improvement"
探査,たんさ,"probe, inquiry, enquiry, investigation"
診察,しんさつ,medical examination
武勇,ぶゆう,"bravery, military prowess, valour, valor"
武勇伝,ぶゆうでん,"biography of a brave fighter, heroic saga, chivalric romance; tale of one's heroism, episode of bravery, acts of violence"
縛り付ける,しばりつける,"to tie, to restrain, to confine, to bind, to fasten"
象徴,しょうちょう,"(abstract) symbol, emblem, representation"
有らゆる,あらゆる,"all, every"
とどまるところを知らない,とどまるところをしらない,"knowing no bounds, showing no signs of stopping or slowing down"
準拠,じゅんきょ,"basis, based on, conformance, conformity, authority (of), standard, reference"
所在地,しょざいち,"location, address"
仰々しい,ぎょうぎょうしい,"exaggerated, bombastic, highly colored, highly coloured"
幽谷,ゆうこく,"deep ravine, glen"
射す,さす,to shine
見学,けんがく,"inspection, study by observation, field trip, tour, review"
孤児,こじ,orphan; person without friends
一帯,いったい,"whole area, whole region; stretch (of land), tract, belt, zone"
流浪,るろう,"vagrancy, wandering, nomadism"
分け隔て,わけへだて,"distinction, favoritism, favouritism, discrimination"
資源,しげん,resources
仕切る,しきる,"to partition, to divide, to mark off, to itemize; to direct, to take control, to manage, to take responsibility; to settle accounts; to toe the mark"
臨む,のぞむ,"to look out on, to overlook, to front onto; to face (a situation, crisis, etc.), to meet (e.g. death), to be confronted by; to deal with (an issue); to attend (e.g. a function), to appear (e.g. in court), to be present at, to take part in"
